#variation; average eval-cost in ms; average init-cost in ms; average eval-memory in KB; average init-memory in KB; had eval-error; had init-error
cut_kleinian; 0.00207883; 0.00148201; 5.3248; 20.48; false; false
glsl_kaliset; 0.00205058; 0.001889; 9.6258; 20.48; false; false
eScale; 0.00204182; 0.00171899; 0.6146; 5.56921875; false; false
dc_rotations; 0.00199681; 0.00243099; 11.2642; 20.48; false; false
glsl_kaleidoscopic; 0.00194382; 0.001679; 23.1426; 20.48; false; false
hexes; 0.00189341; 0.00174; 1.6384; 1.54109375; false; false
dc_code; 0.00187863; 0.726082; 5.3248; 348.18; false; false
cut_kaleido; 0.00186348; 0.001647; 1.4338; 20.48; false; false
post_colormap_wf; 0.00185293; 0.03364399; 1.4338; 34.6359375; false; false
post_trig; 0.00185158; 0.001711; 3.0722; 20.48; false; false
eRotate; 0.00183466; 0.00138201; 0.6146; 5.56921875; false; false
pdj3D; 0.00181074; 0.001656; 1.2288; 20.48; false; false
glsl_apollonian; 0.00174405; 0.001485; 9.6258; 20.48; false; false
pRose3D; 0.0017409; 0.00243401; 1.8434; 5.56921875; false; false
glynnspiro; 0.00167087; 0.00356101; 1.4338; 20.48; false; false
dc_crackle_wf; 0.00164758; 0.09754499; 2.048; 233.46289062; false; false
bipolar; 0.00164607; 0.001671; 0.4096; 1.54109375; false; false
pre_stabilize; 0.00163385; 0.00861701; 1.0242; 20.48; true; false
mobius_dragon_3D; 0.00162506; 0.002512; 1.6384; 20.48; false; false
glitchy2; 0.00161352; 0.00424501; 4.7106; 20.48; false; false
dc_cracklep_wf; 0.00160727; 0.028003; 2.6626; 245.76; false; false
pre_recip; 0.00158152; 0.002868; 2.4576; 20.48; false; false
dc_kaleidoscopic; 0.00158132; 0.002977; 12.493; 20.48; false; false
dc_apollonian; 0.00157495; 0.002387; 9.8304; 20.48; false; false
synth; 0.00156664; 0.002784; 3.0722; 4.77367187; false; false
post_bristorbrot_crop; 0.0015546; 0.001481; 0.8192; 20.48; false; false
fract_formula_mand_wf; 0.00155089; 0.003612; 2.8672; 5.56921875; false; false
cut_swarp; 0.00150785; 0.001866; 1.0242; 20.48; false; false
cut_fractal; 0.00148323; 0.00162; 7.9874; 20.48; false; false
glsl_kaleidocomplex; 0.00147269; 0.00293499; 6.5536; 20.48; false; false
waves4_wf; 0.00145418; 0.00352801; 1.0242; 5.68726563; false; false
cut_spots; 0.00142736; 0.001569; 2.6626; 20.48; false; false
spirograph3D; 0.00142067; 0.002135; 1.0242; 20.48; false; false
dc_squares; 0.00141758; 0.00236299; 4.9152; 40.96; false; false
shredded; 0.0014175; 0.00228701; 1.4338; 20.48; false; false
pdj; 0.00141384; 0.002613; 0.6146; 1.54109375; false; false
dc_glypho; 0.00141187; 0.003841; 3.8914; 20.48; false; false
dc_cylinder; 0.00139588; 0.00164499; 0.8192; 20.48; false; false
glsl_mandelbox2D; 0.00134198; 0.00154601; 5.1202; 20.48; false; false
spirograph; 0.00134026; 0.00205799; 1.2288; 3.93773437; false; false
dc_hexes_wf; 0.00133092; 0.00251101; 2.4576; 4.71203125; false; false
cut_circdes; 0.00131881; 0.00160099; 3.0722; 20.48; false; false
siercarpet_js; 0.00129579; 0.001408; 0.4096; 20.48; false; false
colordomain; 0.00126593; 0.01713501; 2.6626; 20.48; false; false
dc_layers; 0.00125711; 0.00217801; 5.3248; 20.48; false; false
dc_gmandelbroot; 0.00125434; 0.002394; 3.6864; 20.48; false; false
cut_2ewangtile; 0.00122748; 0.001504; 3.2768; 20.48; false; false
cut_tileillusion; 0.00122687; 0.001443; 0.6146; 20.48; false; false
fan2; 0.00122416; 0.001734; 0.8192; 3.71242187; false; false
cut_truchetweaving; 0.00122132; 0.00233; 2.048; 20.48; false; false
dc_mandelbox2D; 0.0012016; 0.003629; 6.144; 20.48; false; false
dla3d_wf; 0.00118054; 39.58899101; 1.8434; 12556.264375; false; false
inversion; 0.0011759; 0.00299199; 2.253; 20.48; false; false
w; 0.001162; 0.002106; 1.4338; 12.96695312; false; false
cut_glypho; 0.00116016; 0.00177901; 2.6626; 20.48; false; false
cone; 0.00115258; 0.002509; 1.2288; 20.48; false; false
dc_worley; 0.00115258; 0.00285501; 4.9152; 20.48; false; false
terrain3D; 0.00114386; 0.031271; 1.6384; 20.48; false; false
mask; 0.00113265; 0.00147399; 0.8192; 12.96695312; false; false
r_circleblur; 0.00112935; 0.001452; 0.8192; 20.48; false; false
tqmirror; 0.00112459; 0.00402501; 2.048; 20.48; false; false
mobiusN; 0.00110716; 0.001981; 1.4338; 12.96695312; false; false
cut_truchet; 0.00110092; 0.00156; 1.2288; 20.48; false; false
cut_snowflake; 0.00110062; 0.00159499; 4.9152; 20.48; false; false
popcorn2_3D; 0.00109548; 0.001613; 0.8192; 5.56921875; false; false
exp_multi; 0.00109365; 0.002209; 1.4338; 20.48; false; false
dc_menger; 0.00108852; 0.003251; 2.6626; 20.48; false; false
polarplot3d_wf; 0.00108268; 0.373201; 1.6384; 114.42773438; false; false
ortho; 0.00107365; 0.002025; 0.6146; 4.77367187; false; false
parplot2d_wf; 0.0010694; 0.61462201; 1.6384; 189.79429687; false; false
post_crosscrop; 0.00106619; 0.00184801; 0.8192; 20.48; false; false
bSwirl; 0.00106181; 0.00161101; 0.6146; 5.56921875; false; false
dc_quadtree; 0.00106162; 0.002772; 3.6864; 20.48; false; false
cut_alientext; 0.00104855; 0.00156501; 1.4338; 20.48; false; false
dc_cylinder2; 0.00104621; 0.002939; 0.8192; 20.48; false; false
truchet_ae; 0.00103958; 0.002889; 2.048; 20.48; false; false
minkowskope; 0.00103942; 0.00261; 0.8192; 20.48; false; false
cut_triantess; 0.00103156; 0.00212001; 1.8434; 20.48; false; false
line; 0.00102374; 0.001979; 0.6146; 4.77367187; false; false
dc_moebiuslog; 0.00101316; 0.003908; 2.6626; 20.48; false; false
svensson_js; 0.00101125; 0.002299; 0.6146; 20.48; false; false
glsl_squares; 0.00100572; 0.001965; 3.8914; 20.48; false; false
pressure_wave; 0.00100103; 0.002291; 0.6146; 20.48; false; false
eSwirl; 0.00099142; 0.001706; 0.6146; 5.56921875; false; false
dc_pentatiles; 0.00099124; 0.00206101; 2.4576; 20.48; false; false
waves2b; 0.0009902; 0.002006; 1.2288; 12.96695312; false; false
cpow3; 0.0009902; 0.00191901; 0.6146; 12.96695312; false; false
woggle_js; 0.00098721; 0.00245999; 0.4096; 20.48; false; false
bTransform; 0.00097891; 0.00234001; 0.8192; 5.56921875; false; false
juliac; 0.00097389; 0.001801; 0.6146; 4.77367187; false; false
circular; 0.00097025; 0.00144999; 0.6146; 20.48; false; false
gridout3D; 0.00096917; 0.00281; 2.6626; 20.48; false; false
clifford_js; 0.00096615; 0.002288; 0.6146; 20.48; false; false
post_heat; 0.00096452; 0.001696; 1.2288; 12.96695312; false; false
cot2_bs; 0.00096214; 0.001443; 0.6146; 20.48; false; false
cut_fun; 0.00095974; 0.00152899; 1.2288; 20.48; false; false
jac_elk; 0.00095955; 0.00177401; 0.4096; 20.48; false; false
eMotion; 0.00095622; 0.00161701; 0.6146; 5.56921875; false; false
dc_hexagons; 0.00095555; 0.002112; 2.048; 20.48; false; false
sech2_bs; 0.00095486; 0.001491; 0.6146; 20.48; false; false
sec2_bs; 0.00095463; 0.00151601; 0.6146; 20.48; false; false
coth2_bs; 0.00095165; 0.001779; 0.6146; 20.48; false; false
pointgrid3d_wf; 0.00095122; 0.00345301; 1.2288; 20.48; false; false
blob3D; 0.00094888; 0.00183099; 0.8192; 1.54109375; false; false
yplot3d_wf; 0.00094466; 0.50592401; 1.6384; 148.83398438; false; false
waves2_3D; 0.00094331; 0.00224299; 0.6146; 5.56921875; false; false
waves3; 0.00094198; 0.002521; 0.8192; 20.48; false; false
waves42; 0.00093915; 0.00192199; 0.8192; 20.48; false; false
dc_sunflower; 0.00093903; 0.003192; 3.4818; 20.48; false; false
wedge_julia; 0.00093835; 0.00160601; 0.6146; 1.54109375; false; false
waves3_wf; 0.00093732; 0.005915; 1.0242; 5.68726563; false; false
pre_disc3d; 0.00093446; 0.00196099; 0.4096; 5.56921875; false; false
ePush; 0.00093345; 0.001604; 0.8192; 5.56921875; false; false
curl_sp; 0.00093154; 0.00191301; 0.8192; 12.96695312; false; false
dc_triantess; 0.0009298; 0.10188401; 3.4818; 20.48; false; false
jubiQ; 0.00092942; 0.002422; 2.4576; 20.48; false; false
rhodonea; 0.00092912; 0.007574; 1.4338; 12.96695312; false; false
subflame_wf; 0.00092296; 1.44421199; 1.2288; 342.88796875; false; false
cpow3_wf; 0.0009196; 0.001712; 1.0242; 20.48; false; false
bsplit; 0.00091866; 0.00135101; 0.6146; 12.96695312; false; false
combimirror; 0.00091499; 0.001807; 1.6384; 20.48; false; false
hypertile3Db; 0.00091365; 0.00265901; 1.6384; 20.48; false; false
isosfplot3d_wf; 0.00091195; 0.445845; 1.6384; 204.8; false; false
disc3d; 0.00091142; 0.002021; 0.4096; 5.56921875; false; false
cut_apollonian; 0.0009068; 0.00211999; 1.6384; 20.48; false; false
disc3; 0.00089846; 0.002383; 1.0242; 20.48; false; false
csc2_bs; 0.00089526; 0.00229999; 0.6146; 20.48; false; false
lazyjess; 0.0008952; 0.001862; 0.6146; 4.77367187; false; false
xtrb; 0.00089047; 0.002002; 1.0242; 5.56921875; false; false
dc_hyperbolictile; 0.00088553; 0.00200001; 1.8434; 40.96; false; false
waves2; 0.00088403; 0.00195801; 0.6146; 1.54109375; false; false
obj_mesh_primitive_wf; 0.0008838; 299.85365; 1.2288; 40787.20726563; false; false
cut_wood; 0.00087975; 0.001589; 1.6384; 20.48; false; false
fdisc; 0.00087895; 0.00154; 1.0242; 12.96695312; false; false
dc_linear; 0.00087678; 0.001341; 0.6146; 12.96695312; false; false
petal3D_apo; 0.00087487; 0.00187399; 1.0242; 20.48; false; false
circular2; 0.00087373; 0.001738; 0.6146; 20.48; false; false
crackle; 0.00087371; 0.13170901; 1.0242; 28.23507813; false; false
arctruchet; 0.00087147; 0.127469; 0.6146; 40.96; false; false
tan2_bs; 0.00087085; 0.00216; 0.6146; 20.48; false; false
minkQM; 0.00086871; 0.00195; 1.0242; 20.48; false; false
juliascope3Db; 0.00086839; 0.002912; 1.2288; 20.48; false; false
ocappedcone3D; 0.00086585; 0.00164999; 1.6384; 20.48; false; false
tree_js; 0.00086342; 0.001282; 1.2288; 20.48; true; false
cosh2_bs; 0.0008624; 0.00150601; 0.6146; 20.48; false; false
hole2; 0.00086231; 0.00158799; 0.8192; 20.48; false; false
super_shape; 0.00086104; 0.001253; 0.8192; 1.54109375; false; false
harmonograph_js; 0.00085604; 0.002356; 1.4338; 20.48; false; false
flower_db; 0.00084519; 0.00160901; 1.0242; 12.96695312; false; false
truchet_hex_fill; 0.00084344; 0.00157999; 0.6146; 20.48; false; false
q_ode; 0.00084152; 0.001744; 1.4338; 20.48; false; false
bwrands; 0.00083879; 0.002685; 1.2288; 12.96695312; false; false
waves4; 0.00083496; 0.003694; 0.8192; 20.48; false; false
hypertile3D2b; 0.0008338; 0.002666; 1.4338; 20.48; false; false
superShape3d; 0.0008297; 0.003042; 1.8434; 5.56921875; false; false
cut_shapes; 0.00082408; 0.00184101; 1.0242; 20.48; false; false
sinh2_bs; 0.0008223; 0.001482; 0.6146; 20.48; false; false
glynnlissa; 0.00081235; 0.002925; 1.4338; 20.48; false; false
iconattractor_js; 0.00081184; 0.001894; 1.0242; 20.48; false; false
helicoid; 0.00081073; 0.00164501; 0.4096; 20.48; false; false
split; 0.00081035; 0.001505; 0.6146; 1.54109375; false; false
cut_hextruchetflow; 0.00081014; 0.001445; 2.4576; 20.48; false; false
cell2; 0.00080987; 0.001887; 1.6384; 20.48; false; false
dc_portal; 0.0008034; 0.00264399; 2.048; 20.48; false; false
falloff3; 0.00079195; 0.008346; 1.4338; 4.71203125; false; false
circleTrans1; 0.00078876; 0.00163801; 1.0242; 12.96695312; false; false
dc_truchet; 0.00078821; 0.001917; 1.6384; 20.48; false; false
rsquares_js; 0.00078331; 0.00137299; 1.2288; 20.48; true; false
pie3D; 0.00078292; 0.001983; 0.8192; 1.54109375; false; false
dc_carpet3D; 0.00078046; 0.00271499; 1.8434; 20.48; false; false
cut_spiralcb; 0.00077932; 0.001433; 0.8192; 20.48; false; false
post_falloff2; 0.0007764; 0.00272001; 1.2288; 5.56921875; false; false
joukowski; 0.00077626; 0.002014; 1.4338; 20.48; false; false
cut_pattern; 0.00077343; 0.001586; 1.0242; 20.48; false; false
pie; 0.00077073; 0.00162701; 0.6146; 1.54109375; false; false
yplot2d_wf; 0.00077001; 0.542777; 1.6384; 120.84265625; false; false
dc_dmodulus; 0.00076849; 0.001897; 1.2288; 20.48; false; false
