#variation; average eval-cost in ms; average init-cost in ms; average eval-memory in KB; average init-memory in KB; had eval-error; had init-error
woggle_js; 0.00210256; 0.00209163; 0.3072; 0.30726667; false; false
voron; 0.00208429; 0.00066286; 0.58881; 0.60126615; false; false
dc_carpet3D; 0.00200537; 0.00194798; 1.59744; 1.60433333; false; false
glsl_kaliset; 0.00199571; 0.00119956; 4.10113; 0.71686667; false; false
colordomain; 0.00197794; 0.00160726; 1.37216; 0.75093333; false; false
siercarpet_js; 0.00194479; 0.00051105; 0.3072; 0.30726667; false; false
dc_kaleidoscopic; 0.00190876; 0.00184729; 5.02784; 1.74086667; false; false
bipolar2; 0.00187529; 0.00119033; 1.03424; 1.0582; false; false
z; 0.00186519; 0.00123286; 1.31585; 1.33126667; false; false
cpow3_wf; 0.00183094; 0.00102066; 0.8704; 0.88746667; false; false
dc_truchet; 0.0018272; 0.00204567; 1.37729; 1.29706667; false; false
dc_worley; 0.00181074; 0.00246735; 1.83296; 1.4336; false; false
glynns3subfl; 0.00178484; 0.66669112; 3.27169; 45.26285781; false; false
htree_js; 0.00176302; 0.00032744; 1.00865; 0.239; true; false
fract_formula_mand_wf; 0.00175298; 0.00135869; 2.84161; 0.8082224; false; false
glsl_kaleidocomplex; 0.00172556; 0.00124719; 1.18273; 0.88746667; false; false
hexes; 0.00170061; 0.00090405; 1.54113; 0.61356719; false; false
circleRand; 0.00168848; 0.00066499; 0.84481; 0.8534; false; false
dc_cylinder; 0.0016877; 0.00071704; 0.77824; 0.78513333; false; false
waveblur_wf; 0.00167299; 0.0010054; 0.77824; 0.78513333; false; false
glsl_apollonian; 0.00165567; 0.00103687; 4.2496; 0.54613333; false; false
post_heat; 0.00165231; 0.00097039; 1.03424; 1.0582; false; false
dc_layers; 0.00163965; 0.00212877; 1.75104; 1.6384; false; false
gridout3D; 0.00161879; 0.00283511; 2.58048; 2.59413333; false; false
dc_crackle_wf; 0.00160801; 0.05873038; 1.92001; 5.5638; false; false
dc_quadtree; 0.00160452; 0.00222806; 2.21184; 1.6384; false; false
dc_menger; 0.00158934; 0.00216914; 1.41312; 1.29706667; false; false
spirograph; 0.00158859; 0.00078482; 1.03424; 0.15306693; false; false
pRose3D; 0.00157555; 0.00150061; 1.7408; 0.92173385; false; false
crown_js; 0.0015606; 0.00056317; 0.53761; 0.47786667; false; false
dc_poincaredisc; 0.0015079; 0.00407201; 1.56672; 1.57013333; false; false
hamid_js; 0.00150012; 0.00135112; 1.76128; 1.74086667; true; false
epispiral_wf; 0.00148345; 0.00054776; 0.37888; 0.38405104; false; false
minkowskope; 0.00147911; 0.00094963; 0.77824; 0.78513333; false; false
glynnSim2; 0.00147729; 0.00075947; 0.94208; 0.26646797; false; false
dc_gnarly; 0.00146513; 0.00122175; 1.55137; 1.57013333; false; false
mobiusN; 0.00142168; 0.0010726; 1.24417; 1.263; false; false
dc_hexagons; 0.00142; 0.00204449; 1.54624; 1.53606667; false; false
glsl_squares; 0.00140452; 0.00116352; 1.97121; 0.8192; false; false
pre_recip; 0.00140287; 0.00323475; 2.06337; 1.53606667; false; false
dc_cairotiles; 0.00140162; 0.00230775; 1.56672; 1.4336; false; false
glsl_kaleidoscopic; 0.00138773; 0.00153063; 4.0448; 0.71686667; false; false
dla3d_wf; 0.00138572; 0.6681207; 1.83296; 9.90559766; false; false
dc_bubble; 0.00138533; 0.00059197; 0.54272; 0.54613333; false; false
spirograph3D; 0.00135936; 0.00103771; 0.96256; 0.98993333; false; false
rsquares_js; 0.00134557; 0.00033054; 1.00865; 0.239; true; false
cubic3D; 0.0013414; 0.00058545; 0.58881; 0.59501276; false; false
oscilloscope2; 0.00133993; 0.00080743; 0.77824; 0.77967344; false; false
post_falloff3; 0.00132486; 0.00088307; 1.24417; 0.26211432; false; false
waves2b; 0.00131836; 0.00115283; 1.10592; 1.12646667; false; false
gdoffs; 0.00131508; 0.00075677; 0.89601; 0.2172099; false; false
waves3_wf; 0.00131381; 0.00124392; 0.89601; 0.21704245; false; false
svg_wf; 0.00130692; 0.00518674; 0.91136; 4.71144167; false; false
obj_mesh_primitive_wf; 0.00130667; 0.87564652; 1.15201; 28.19202552; false; false
dc_pentatiles; 0.00130627; 0.00260826; 1.54113; 1.36533333; false; false
yplot3d_wf; 0.00129945; 0.29907786; 1.55137; 11.54311667; false; false
waves4_wf; 0.00129198; 0.00100332; 0.89601; 0.21710547; false; false
rhodonea; 0.00127391; 0.00168407; 1.38753; 1.6384; false; false
falloff3; 0.00127206; 0.0012767; 1.24417; 0.26174557; false; false
ngon; 0.00125922; 0.00070836; 0.6144; 0.13364245; false; false
sphericalN; 0.00125731; 0.00072785; 0.6144; 0.6144; false; false
mobiq; 0.00124736; 0.00139025; 1.59744; 1.60433333; false; false
super_shape; 0.00124626; 0.0012868; 0.77824; 0.30733385; false; false
atan2_spirals; 0.00123795; 0.00170517; 1.4336; 1.4336; false; false
dc_triantess; 0.00122402; 0.00367444; 2.90816; 3.99366667; false; false
pdj; 0.00121825; 0.00067899; 0.6144; 0.20355885; false; false
juliascope3Db; 0.00121304; 0.00205617; 1.22369; 1.2288; false; false
crackle; 0.00120837; 0.06048379; 1.00352; 2.76701771; false; false
dc_carpet; 0.00119411; 0.00056097; 0.37888; 0.37553333; false; false
spligon; 0.00118293; 0.00110333; 0.54272; 0.54613333; false; false
tree_js; 0.00117801; 0.00044209; 1.00865; 0.239; true; false
eCollide; 0.00117061; 0.00059383; 0.5632; 0.57692813; false; false
glynnSShape; 0.00116309; 0.00240473; 1.36705; 1.36533333; false; false
synth; 0.00116228; 0.00236754; 2.9184; 0.90682995; false; false
affine3D; 0.00116112; 0.00401715; 1.66912; 1.6726; false; false
asteria; 0.00115797; 0.00074263; 0.37888; 0.39897448; false; false
glsl_mandelbox2D; 0.00115129; 0.00126853; 1.61281; 0.71686667; false; false
subflame_wf; 0.00114698; 0.66668136; 1.03424; 1.8508026; false; false
truchet_fill; 0.00114088; 0.00059765; 0.54272; 0.54613333; false; false
disc; 0.00114032; 0.00016382; 0.16897; 0.16449297; false; false
harmonograph_js; 0.00113174; 0.00197414; 1.23904; 1.263; false; false
bTransform; 0.00112903; 0.00069828; 0.75265; 0.76651901; false; false
crop3D; 0.00112828; 0.00074892; 1.01376; 1.024; false; false
disc3d; 0.00112581; 0.00054213; 0.37888; 0.37608802; false; false
post_point_symmetry_wf; 0.00112568; 0.33333682; 0.59392; 3.10008854; true; false
sphtiling3v2; 0.00111887; 0.00123035; 0.96256; 0.98993333; false; false
minkQM; 0.00111842; 0.00132876; 0.91649; 0.92166667; false; false
jac_cn; 0.00111611; 0.00055093; 0.92673; 0.399825; false; false
waves2_3D; 0.00111594; 0.00056751; 0.6144; 0.6144; false; false
pre_subflame_wf; 0.00111542; 0.66668504; 1.03424; 3.48327161; false; false
cpow3; 0.00111001; 0.0008318; 0.6144; 0.6144; false; false
dc_moebiuslog; 0.00110978; 0.00313736; 1.86368; 1.80913333; false; false
arctruchet; 0.00110381; 0.18993855; 0.51713; 39.96335469; false; false
phoenix_julia; 0.00109779; 0.00059934; 0.6144; 0.6144; false; false
dc_cube; 0.00109701; 0.00102505; 1.03424; 0.239; false; false
waves4; 0.00109455; 0.00114391; 0.70656; 0.71686667; false; false
obj_mesh_wf; 0.00109302; 0.00358421; 1.09057; 2.89226667; false; false
waves2_radial; 0.00109225; 0.00077452; 0.77824; 0.78513333; false; false
popcorn2_3D; 0.00108717; 0.00071013; 0.77824; 0.78322969; false; false
inversion; 0.00108329; 0.00192536; 2.08896; 2.15046667; false; false
conic; 0.00108224; 0.00061879; 0.45056; 0.46124036; false; false
julian2; 0.0010806; 0.001028; 0.91649; 0.23906719; false; false
juliascope; 0.00107999; 0.00189944; 0.42497; 0.13693646; false; false
pre_falloff3; 0.00107363; 0.00077017; 1.24417; 0.2619151; false; false
post_axis_symmetry_wf; 0.00106841; 0.00135321; 1.1264; 1.12646667; false; false
yplot2d_wf; 0.00106615; 0.27117707; 1.55137; 6.90290677; false; false
dc_hyperbolictile; 0.00105443; 0.00183809; 1.30048; 1.16053333; false; false
curl3D; 0.00105122; 0.00372019; 0.68097; 0.13425208; false; false
oscilloscope; 0.00105077; 0.00068348; 0.6144; 0.61100599; false; false
ePush; 0.00105062; 0.00061804; 0.68097; 0.06833385; false; false
rose_wf; 0.00104893; 0.00077394; 0.49665; 0.01864896; false; false
hypertile1; 0.00104135; 0.0005961; 0.39936; 0.40359583; false; false
dc_cylinder2; 0.00103726; 0.0008963; 0.77824; 0.78513333; false; false
hypertile2; 0.00102719; 0.00057366; 0.39936; 0.40359349; false; false
waves2; 0.00102571; 0.00061457; 0.6144; 0.61075469; false; false
log_db; 0.00102124; 0.00053616; 0.45056; 0.46724219; false; false
sineblur; 0.00102051; 0.00058071; 0.37888; 0.37597188; false; false
collideoscope; 0.00101888; 0.00060373; 0.42497; 0.42580885; false; false
eScale; 0.00101689; 0.00059828; 0.58881; 0.59810417; false; false
spliptic_bs; 0.00101657; 0.00053547; 0.45056; 0.47786667; false; false
chunk; 0.00101323; 0.0010943; 0.79872; 0.8192; false; false
bCollide; 0.00101293; 0.00058298; 0.5632; 0.57785755; false; false
wedge; 0.00101144; 0.00075692; 0.58881; 0.58886458; false; false
splits; 0.0010107; 0.00069159; 0.77824; 0.09475; false; false
waves3; 0.00100585; 0.00106174; 0.77824; 0.78513333; false; false
hexnix3D; 0.00100579; 0.00070611; 0.75265; 0.76666667; false; false
waves22; 0.00100512; 0.00197064; 0.79872; 0.8192; false; false
sec2_bs; 0.001005; 0.00076111; 0.6144; 0.6144; false; false
popcorn2; 0.0010019; 0.00066873; 0.54272; 0.5406276; false; false
spherecrop; 0.00099926; 0.00069687; 0.75265; 0.75093333; false; false
post_julia3Dq; 0.00099464; 0.00054563; 0.5632; 0.57839635; false; false
waves42; 0.00098972; 0.00129536; 0.79872; 0.8192; false; false
post_mirror_wf; 0.00098803; 0.00127841; 1.1264; 0.4438; false; false
lazyjess; 0.00098684; 0.00061886; 0.5632; 0.56657083; false; false
